,Транскрипция Infinitive,Past Simple,Транскрипция Past Simple,Past Participal,Транскрипция Past Participal,Русский,Испанский,Китайский,Французский
forsake,[fɔrˈseɪk] ,forsook,[fɔrˈsʊk] ,forsaken,[fərˈseɪkən],покидать,abandonar,离开,
forswear,[fɔrˈswɛr] ,forswore,[fɔːˈswɔːr],forsworn,[ˌfɔːrˈswɔːrn],отрекаться,abjurar de,放弃,
freeze,[friːz],froze,[froʊz] ,frozen,[ˈfrəʊzn] ,замерзать,congelar,冻结,
gainsay,[ˈgeɪnˌseɪ] ,gainsaid,[ˌɡeɪnˈsed],gainsaid,[ˌɡeɪnˈsed],"отрицать, противоречить",contradecir,否认,
get,"[gɛt], [gɪt]",got,[ɡɑːt],got,[ɡɑːt],получать,obtener,收到,
gild,[gɪld] ,"gilt, gilded","[gɪlt], [ˈgɪldɪd] ","gilt, gilded","[gɪlt], [ˈgɪldɪd] ",позолотить,dorar,镀金,
gird,[gɜrd] ,"girded, girt","[ˈgɜrdɪd], [gɜrt] ","girded, girt","[ˈgɜrdɪd], [gɜrt]",опоясывать,ceñir,包围,
give,[gɪv] ,gave,[geɪv] ,given,[ˈgɪvn] ,давать,dar,给,
go,[goʊ] ,went,[wɛnt] ,gone,[gɒn] ,идти,ir,走,
grave,[greɪv],graved,[greɪvd] ,"graved, graven","[greɪvd], [ˈgreɪvən] ",гравировать,tumba,雕刻,
grind,[graɪnd] ,ground,[graʊnd] ,ground,[graʊnd] ,"точить, молоть",moler,磨,
grow,[groʊ] ,grew,[gru] ,grown,[grəʊn] ,расти,crecer,成长,
hamstring,[ˈhæmˌstrɪŋ] ,"hamstringed, hamstrung","[ˈhæmˌstrɪŋd], [ˈhæmstrəŋ] ","hamstringed, hamstrung","[ˈhæmstrɪŋd], [ˈhæmstrʌŋ] ",подрезать поджилки,tendón de la corva,腿筋,
hang,[hæŋ] ,"hung, hanged","[hʌŋ], [hæŋd] ","hung, hanged","[hʌŋ], [hæŋd] ",вешать,colgar,挂,
have,[hæv] ,had,[hæd] ,had,[hæd] ,иметь,tener,有,
hear,[hɪr],heard,[hɜrd] ,heard,[hɜrd],слушать,oír,听,
heave,[hiːv],"heaved, hove","[ˈhiːvd], [həʊv]","heaved, hove","[ˈhiːvd], [həʊv]",подымать(ся),tirón,提高,
hew,[hjuː],hewed,[ˈhjuːd],"hewed, hewn","[ˈhjuːd], [ˈhjuːn]","рубить, тесать",labrar,砍,
hide,[haɪd] ,hid,[hɪd] ,hidden,[ˈhɪdn] ,прятать(ся),esconder,隐藏,
hit,[hɪt] ,hit,[hɪt] ,hit,[hɪt] ,"ударять, попадать в цель",golpear,击中,
hold,[hoʊld] ,held,[hɛld] ,held,[hɛld] ,держать,sostener,保持,
hurt,[hɜːrt],hurt,[hɜːrt],hurt,[hɜːrt],причинить боль,herir,伤害,
inlay,[ˌɪnˈleɪ],inlaid,[ˌɪnˈleɪd],inlaid,[ˌɪnˈleɪd],"вкладывать, выстилать",embutido,铺上,
input,[ˈɪnˌpʊt] ,"input, inputted","[ˈɪnˌpʊt], [ˈɪnˌpʊtɪd] ","input, inputted","[ˈɪnpʊt], [ˈɪnpʊtɪd] ",входить,entrada,进入,
inset,[ɪnˈsɛt] ,inset,[ɪnˈsɛt],inset,[ɪnˈsɛt] ,"вставлять, вкладывать",recuadro,插入,
interweave,[ˌɪntərˈwiːv],interwove,[ˌɪntəˈwoʊv],interwoven,[ˌɪntəˈwoʊvən],воткать,entrelazar,交织,
keep,[kiːp],kept,[kept],kept,[kept],"хранить, содержать",guardar,保持,
ken,[kɛn] ,"kenned, kent","[kɛnd], [kɛnt] ",kenned,[kɛnd] ,"знать, узнавать по виду",conocido,知道,
kneel,[niːl],"knelt, kneeled","[nelt], [niːld]","knelt, kneeled","[nelt], [niːld]",стоять на коленях,arrodillarse,下跪,
knit,[nɪt] ,"knit, knitted","[nɪt], [ˈnɪtəd] ","knit, knitted","[nɪt], [ˈnɪtɪd] ",вязать,tejer,针织,
know,[noʊ] ,knew,[nuː],known,[nəʊn] ,знать,saber,知道,
lade,[ˈleɪd],laded,[ˈleɪdɪd] ,"laded, laden","[ˈleɪdɪd], [ˈleɪdn] ",грузить,cargar,船,
lay,[leɪ] ,laid,[leɪd] ,laid,[leɪd] ,"класть, положить",laico,放,
lead,[liːd],led,[lɛd] ,led,[lɛd] ,вести,dirigir,领导,
lean,[liːn],"leant, leaned","[ˈliənt], [ˈliːnd]","leant, leaned","[ˈliənt], [ˈliːnd]","опираться, прислоняться",apoyarse,瘦,
leap,[liːp],"leapt, leaped","[ˈliːpt], [ˈlept]","leapt, leaped","[ˈliːpt], [ˈlept]",прыгать,salto,跳,
learn,[lɜːrn],"learnt, learned","[ˈlɝːnt], [ˈlɜːrnɪd]","learnt, learned","[ˈlɝːnt], [ˈlɜːrnɪd]",учить,aprender,学习,
leave,[liːv],left,[left],left,[left],оставить,salir,保留,
lend,[lɛnd] ,lent,[lɛnt] ,lent,[lɛnt] ,одалживать,prestar,借,
let,[lɛt] ,let,[lɛt] ,let,[lɛt] ,позволять,dejar,允许,
lie,[laɪ] ,lay,[leɪ] ,lain,[leɪn] ,лежать,mentira,躺,
light,[laɪt] ,"lit, lighted","[lɪt], [ˈlaɪtɪd]","lit, lighted","[lɪt], [ˈlaɪtɪd] ",освещать,ligero,光,
lose,[luːz],lost,[lɔːst],lost,[lɔːst],терять,perder,失去,
make,[meɪk] ,made,[meɪd] ,made,[meɪd] ,"делать, производить",hacer,做,
may,[meɪ] ,might,[maɪt] ,might,[maɪt] ,"мочь, иметь возможность",mayo,能,
mean,[miːn],meant,[mɛnt] ,meant,[mɛnt] ,подразумевать,media,暗示,
meet,[miːt],met,[mɛt] ,met,[mɛt] ,встретить,reunirse,见面,
miscast,[ˌmɪsˈkæst],miscast,[ˌmɪsˈkæst],miscast,[ˌmɪsˈkæst],неправильно распределять роли,miscast,不正确的角色分配 ,
misdeal,[ˌmɪsˈdiːl],misdealt,[ˌmɪsˈdelt],misdealt,[ˌmɪsˈdelt],поступать неправильно,reparto erróneo,做错,
misgive,[ˌmɪsˈɡɪv],misgave,[ˌmɪsˈɡeɪv],misgiven,[ˌmɪsˈɡɪvn],внушать опасения,hacer recelar,疑虑,
mishear,[mɪsˈhir] ,misheard,[ˌmɪsˈhɜrd] ,misheard,[ˌmɪsˈhɜrd],ослышаться,oír mal,听错,
mishit,[mɪsˈhɪt] ,mishit,[mɪsˈhɪt] ,mishit,[mɪsˈhɪt] ,промахнуться,golpe defectuoso,没有打中,
mislay,[ˌmɪsˈleɪ],mislaid,[mɪsˈleɪd] ,mislaid,[mɪsˈleɪd] ,класть не на место,perder,错位,
mislead,[ˌmɪsˈliːd],misled,[mɪsˈlɛd] ,misled,[mɪsˈlɛd] ,ввести в заблуждение,engañar,误导,
misread,ˌmɪsˈriːd],misread,[ˌmɪsˈrɛd],misread,[ˌmɪsˈrɛd],неправильно истолковывать,engañar,误解,
misspell,[ˌmɪsˈspel],"misspelt, misspeled","[ˌmɪsˈspelt], [ˌmɪsˈspeld]","misspelt, misspeled","[ˌmɪsˈspelt], [ˌmɪsˈspeld]",писать с ошибками,escribir mal,写错误,
misspend,[ˌmɪsˈspend],misspent,[mɪsˈspɛnt] ,misspent,[ˈmɪsˈspɛnt] ,экономить,malgastar,保存,
mistake,[mɪsˈteɪk] ,mistook,[mɪsˈtʊk] ,mistaken,[mɪsˈteɪkən] ,ошибаться,Error,犯错,
misunderstand,[ˌmɪsʌndərˈstænd],misunderstood,[ˌmɪsəndərˈstʊd],misunderstood,[ˌmɪsəndərˈstʊd],неправильно понимать,entender mal,误解,
mow,[moʊ] ,mowed,"[moʊd], [məʊd] ","mown, mowed","[məʊn], [məʊd]",косить,cortar,刈,
outbid,[ˈaʊtˌbɪd] ,outbid,[ˈaʊtˌbɪd] ,outbid,[ˌaʊtˈbɪd],перебивать цену,sobrepujar,谎价,
outdo,[ˌaʊtˈduː],outdid,[ˈaʊtˌdɪd] ,outdone,[ˈaʊtˈdən],превосходить,exceder,高强,
outfight,[ˌaʊtˈfaɪt],outfought,[ˌaʊtˈfɔːt],outfought,[ˌaʊtˈfɔːt],побеждать (в бою),outfight,胜利,
outgrow,[ˌaʊtˈgroʊ] ,outgrew,[ˌaʊtˈgru:],outgrown,[aʊtˈgrəʊn] ,вырастать из,crecer más que,长出来,
output,[ˈaʊtˌpʊt] ,"output, outputted","[ˈaʊtˌpʊt], [ˈaʊtˌpʊtɪd] ","output, outputted","[ˈaʊtpʊt], [ˈaʊtpʊtɪd] ",выходить,salida,出,
outrun,[aʊˈtrʌn] ,outran,[aʊˈtræn] ,outrun,[aʊtˈrʌn] ,"перегонять, опережать",correr más que,超车,
outsell,[aʊtˈsɛl] ,outsold,[aʊtˈsoʊld] ,outsold,[aʊtˈsoʊld],продавать лучше или дороже,outsell,卖得更好或更贵,
outshine,[ˈaʊˌʧaɪn] ,outshone,[aʊtˈʃoʊn] ,outshone,[aʊtˈʃɒn] ,затмевать,eclipsar,掩盖,
overbid,[ˌoʊvərˈbɪd] ,overbid,[ˌoʊvərˈbɪd] ,overbid,[ˌoʊvərˈbɪd],повелевать,licitar más que,统治,
overcome,[ˈoʊvərˌkʌm] ,overcame,[ˈoʊvərˈkeɪm] ,overcome,[ˈoʊvərˌkʌm],компенсировать,superar,补偿,
overdo,[ˈoʊvərˈdu] ,overdid,[ˈoʊvərˌdɪd] ,overdone,[ˈoʊvərˌdʌn],пережари(ва)ть,exagerar,过火,
overdraw,[ˈoʊvərˌdrɔ:],overdrew,[ˈoʊvərˌdru:],overdrawn,[ˈoʊvərˈdrɔːn],превышать,girar en descubierto,超过,
overeat,[ˈoʊvəˌrit] ,overate,[oʊvəˈreɪt] ,overeaten,[ˌəʊvəˈriːtn] ,объедаться,comer con exceso,吃得过多,
overfly,[ˌoʊvərˈflaɪ] ,overflew,[ˌoʊvərˈflu:],overflown,[ˌoʊvərˈfləʊn],перелетать,sobrevolar,飞越,
overhang,[ˌoʊvərˈhæŋ] ,overhung,[oʊvərˈhʌŋ] ,overhung,[oʊvərˈhʌŋ],нависать,sobresalir,悬垂,
overhear,[ˈoʊvərˈhir] ,overheard,[ˈoʊvərˈhɜrd] ,overheard,[ˈoʊvərˈhɜrd],подслуш(ив)ать,oír,偷听,
overlay,[ˌoʊvərˈleɪ] ,overlaid,[ˈoʊvərˌleɪd] ,overlaid,[ˈoʊvərˌleɪd],покры(ва)ть,cubrir,覆盖,
overpay,[ˈoʊvərˌpeɪ] ,overpaid,[ˈoʊvərˈpeɪd] ,overpaid,[ˈoʊvərˈpeɪd],переплачивать,pagar demasiado,多付,
override,[ˈoʊvərˌraɪd] ,overrode,[ˈoʊvərˈroʊd] ,overridden,[ˌoʊvərˈrɪdn],"отвергать, отклонять",anular,拒绝,
overrun,[ˈoʊvərˌrʌn] ,overran,[ˈoʊvərˈræn] ,overrun,[ˈoʊvər'rʌn],переливаться через край,invadir,溢出,
oversee,[ˌoʊvərˈsiː],oversaw,[ˈoʊvərˌsɔ:],overseen,[ˌoʊvərˈsiːn],надзирать за,superentender,监视,
overshoot,[ˈoʊvərˌʃut] ,overshot,[ˈoʊvərˌʃɑt] ,overshot,[ˈoʊvərˌʃɑt],расстрелять,excederse,射击,
oversleep,[ˌoʊvərˈsliːp],overslept,[ˌoʊvərˈslɛpt] ,overslept,[ˌoʊvərˈslɛpt],прос(ы)пать,dormir demasiado,睡过头,
overtake,[ˈoʊvərˌteɪk] ,overtook,[ˌoʊvərˈtʊk] ,overtaken,[ˌoʊvərˈteɪkən],догонять,adelantar,追上,
overthrow,[ˌoʊvərˈθroʊ] ,overthrew,[ˌoʊvərˈθru] ,overthrown,[ˌoʊvərˈθrəʊn],свергать,derrocamiento,推翻,
partake,[pɑrˈteɪk] ,partook,[pɑːrˈtʊk],partaken,[pɑːrˈteɪkən],принимать участие,participar,参加,
pay,[peɪ] ,paid,[peɪd] ,paid,[peɪd] ,платить,paga,支付,
plead,[pliːd],"pleaded, pled","[ˈpli:dəd], [plɛd]","pleaded, pled","[ˈpli:dəd], [plɛd]",обращаться к суду,alegar,解决法院,
prepay,[priˈpeɪ] ,prepaid,[ˌpriːˈpeɪd],prepaid,[ˌpriːˈpeɪd],платить вперед,pagar por adelantado,预付,
prove,[pruːv],proved,[ˈpruːvd],"proved, proven","[pruːvd], [ˈpruːvən] ","доказывать, оказаться",probar,证明,
put,[pʊt] ,put,[pʊt] ,put,[pʊt] ,класть,poner,放,
quit,[kwɪt] ,"quit, quitted","[kwɪt], [ˈkwɪtɪd] ","quit, quitted","[kwɪt], [ˈkwɪtɪd] ","покидать, оставлять, выходить",dejar,离开,
read,[riːd],read,[rɛd] ,read,[rɛd] ,читать,leer,阅读,
rebind,[ˌriˈbaɪnd] ,rebound,[riˈbaʊnd] ,rebound,[rɪˈbaʊnd] ,перевязывать,reencuadernar,连衣裙,
rebuild,[ˌriːˈbɪld],rebuilt,[riˈbɪlt] ,rebuilt,[riˈbɪlt],перестроить,reconstruir,重组,
recast,[ˌriːˈkæst],recast,[ˌriːˈkæst],recast,[ˌriːˈkɑːst],"видоизменять, преобразовывать",refundir a,改变,
redo,[ˌriːˈduː],redid,[ˌriːˈdɪd],redone,[ˌriːˈdʌn] ,повторять сделанное,rehacer,重复做,
rehear,[riˈhir] ,reheard,[ˌriˈhɜrd] ,reheard,[ˌriˈhɜrd],слушать вторично,recalentar,再审,
remake,[ˈriˈmeɪk] ,remade,[riˈmeɪd] ,remade,[ˌriːˈmeɪd] ,переделывать,rehacer,翻拍,
rend,[rend],rent,[rɛnt] ,rent,[rɛnt] ,раздирать,desgarrar,裂,
repay,[riˈpeɪ] ,repaid,[riˈpeɪd] ,repaid,[riːˈpeɪd] ,отдавать долг,pagar,报答,
rerun,[ˈriˈrʌn] ,reran,[riːˈran],rerun,[ˌriːˈrʌn] ,выполнять повторно,repetición,再次执行,
resell,[riˈsɛl] ,resold,[riˈsoʊld] ,resold,[riːˈsoʊld],перепродавать,revender,转售,
reset,[ˌriːˈset],reset,[ˌriːˈset],reset,[ˌriːˈsɛt] ,возвращать,Reiniciar,回报,
resit,[ˌriˈsɪt],resat,[ˌriˈsæt],resat,[ˌriˈsæt],пересиживать,convocatoria extraordinaria,坐的时间比...久,дословно сидеть чем...дольше
retake,[ˌriːˈteɪk],retook,[riːˈtʊk],retaken,[ˌriːˈteɪkən] ,забирать,volver a tomar,撤,
retell,[riˈtɛl] ,retold,[ˌriˈtoʊld] ,retold,[ˌriˈtoʊld],пересказывать,recontar,排练,
rewrite,[ˈriːraɪt],rewrote,[ˌriːˈroʊt],rewritten,[ˌriːˈrɪtn] ,пере(за)писать,volver a escribir,改写,
rid,[rɪd] ,"rid, ridded","[rɪd], [ˈrɪdɪd] ","rid, ridded","[rɪd], [ˈrɪdɪd] ",избавлять,eliminar,挽救,
ride,[raɪd] ,rode,[roʊd] ,ridden,[ˈrɪdn] ,ездить верхом,paseo,骑,
ring,[rɪŋ] ,rang,[ræŋ] ,rung,[rʌŋ] ,звонить,anillo,通话,
rise,[raɪz] ,rose,[roʊz] ,risen,[ˈrɪzn] ,подняться,subir,向上,
rive,[raɪv],rived,[raɪvd],riven,[ˈrɪvən] ,расщеплять,hender,分裂,
run,[rʌn] ,ran,[ræn] ,run,[rʌn] ,"бежать, течь",correr,跑,
saw,[sɔː],sawed,[ˈsɔːd],"sawn, sawed","[sɔːn], [sɔːd] ",пилить,Sierra,唠叨,
say,[seɪ] ,said,[sɛd] ,said,[sɛd] ,"говорить, сказать",decir,告诉,
see,[siː],saw,[sɔː],seen,[siːn] ,видеть,ver,见,
seek,[siːk],sought,[sɔːt],sought,[sɔːt] ,искать,buscar,搜索,
sell,[sɛl] ,sold,[soʊld] ,sold,[soʊld],продавать,vender,出售,
send,[sɛnd] ,sent,[sɛnt] ,sent,[sɛnt] ,посылать,enviar,发送,
set,[sɛt] ,set,[sɛt] ,set,[sɛt] ,"ставить, устанавливать",conjunto,放,
sew,[soʊ] ,sewed,"[soʊd], [sjuːd] ","sewed, sewn","[səʊd], [sjuːd], [səʊn] ",шить,coser,缝,
shake,[ʃeɪk] ,shook,[ʃʊk] ,shaken,[ˈʃeɪkən] ,трясти,sacudir,动摇,
shave,[ʃeɪv] ,shaved,[ʃeɪvd] ,"shaved, shaven","[ʃeɪvd], [ˈʃeɪvn] ",брить(ся),afeitado,刮胡子,
shear,[ʃɪr] ,sheared,[ʃɪrd] ,"shorn, sheared","[ʃɔːrn], [ʃɪrd]",стричь,cortar,切,
shed,[ʃɛd] ,shed,[ʃɛd] ,shed,[ʃɛd] ,проливать,cobertizo,棚,
shine,[ʃaɪn] ,"shone, shined","[ʃoʊn], [ʃaɪnd] ","shone, shined","[ʃɒn], [ʃaɪnd] ","светить, сиять",brillar,闪耀,
shoe,[ʃuː],shod,[ʃɑːd],shod,[ʃɑːd],"обувать, подковывать",zapato,鞋,
shoot,[ʃuːt],shot,[ʃɑːt],shot,[ʃɑːt],"стрелять, давать побеги",disparar,射击,
show,[ʃoʊ] ,showed,[ʃoʊd] ,"shown, showed","[ʃəʊn], [ʃəʊd] ",показывать,espectáculo,显示,
shred,[ʃrɛd] ,"shred, shredded","[ʃrɛd], [ˈʃrɛdəd] ","shred, shredded","[ʃrɛd], [ˈʃrɛdɪd] ","кромсать, расползаться",desgarrar,乱切,
shrink,[ʃrɪŋk] ,"shrank, shrunk","[ʃræŋk], [ʃrʌŋk] ",shrunk,[ʃrʌŋk] ,"сокращаться, сжиматься, отпрянуть",encogimiento,缩,
